,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
vox,2,0.1342281879194631,confiteor,2,0.13149243918474687,gavdivm,2,0.13360053440213762,nobilis/2,2,0.1370801919122687,siqvis,2,0.12070006035003018,vtpote,2,0.12886597938144329,colligo/3,2,0.11737089201877934,historia,2,0.12040939193257075,liber/1,2,0.14524328249818447,secedo/1,2,0.12738853503184713
videlicet,2,0.1342281879194631,contingo/1,2,0.13149243918474687,vigilia,2,0.13360053440213762,adhvc,2,0.1370801919122687,veritas,2,0.12070006035003018,nimirvm,2,0.12886597938144329,svccessor,2,0.11737089201877934,noster,2,0.12040939193257075,svmmvs,2,0.14524328249818447,italia/n,2,0.12738853503184713
perfero,2,0.1342281879194631,ingredior,2,0.13149243918474687,animvs,2,0.13360053440213762,italia/n,2,0.1370801919122687,corpvs,2,0.12070006035003018,secedo/1,2,0.12886597938144329,orientalis,2,0.11737089201877934,bonvs,2,0.12040939193257075,vindico,2,0.14524328249818447,scientia,2,0.12738853503184713
avdeo,2,0.1342281879194631,finis,2,0.13149243918474687,debeo,2,0.13360053440213762,primvs,2,0.1370801919122687,maximvs,2,0.12070006035003018,meditatio,2,0.12886597938144329,occidentalis,2,0.11737089201877934,rego,2,0.12040939193257075,impetro,2,0.14524328249818447,accipio,2,0.12738853503184713
episcopvs,2,0.1342281879194631,magnvs,2,0.13149243918474687,mensis,2,0.13360053440213762,finis,2,0.1370801919122687,terra,2,0.12070006035003018,volo/3,2,0.12886597938144329,svpersvm/1,2,0.11737089201877934,intimo,2,0.12040939193257075,aqvilo/n,2,0.14524328249818447,contingo/1,2,0.12738853503184713
ministerivm,2,0.1342281879194631,resto,2,0.13149243918474687,parvvs/2,2,0.13360053440213762,ergo/2,2,0.1370801919122687,inclvdo,2,0.12070006035003018,consentio,2,0.12886597938144329,mando/2,2,0.11737089201877934,omnis,2,0.12040939193257075,magnvs,2,0.14524328249818447,ingredior,2,0.12738853503184713
frater,2,0.1342281879194631,coepio,2,0.13149243918474687,amo,2,0.13360053440213762,potivs,2,0.1370801919122687,instrvo,2,0.12070006035003018,vocabvlvm,2,0.12886597938144329,qvalis/1,2,0.11737089201877934,abba,2,0.12040939193257075,navigivm,2,0.14524328249818447,familia,2,0.12738853503184713
agnosco,2,0.1342281879194631,hodie,2,0.13149243918474687,svbivngo,2,0.13360053440213762,roboro,2,0.1370801919122687,vter/4,2,0.12070006035003018,crvx,2,0.12886597938144329,porro,2,0.11737089201877934,regio,2,0.12040939193257075,dono,2,0.14524328249818447,mitto,2,0.12738853503184713
lindisfarnensis/a,2,0.1342281879194631,consto,2,0.13149243918474687,decet,2,0.13360053440213762,tres,2,0.1370801919122687,redeo/1,2,0.12070006035003018,promissvm,2,0.12886597938144329,simplex,2,0.11737089201877934,postea,2,0.12040939193257075,adeo/1,2,0.14524328249818447,gavdivm,2,0.12738853503184713
simplex,2,0.1342281879194631,antiqvitvs,2,0.13149243918474687,conversatio,2,0.13360053440213762,dvo,2,0.1370801919122687,finis,2,0.12070006035003018,peregrinvs/2,2,0.12886597938144329,obsecro,2,0.11737089201877934,fidelis/2,2,0.12040939193257075,volo/3,2,0.14524328249818447,promitto,2,0.12738853503184713
obsecro,2,0.1342281879194631,socivs/1,2,0.13149243918474687,propono,2,0.13360053440213762,qvadraginta,2,0.1370801919122687,peto,2,0.12070006035003018,perspicio,2,0.12886597938144329,stvdeo,2,0.11737089201877934,excipio,2,0.12040939193257075,resto,2,0.14524328249818447,maneo,2,0.12738853503184713
aperio,2,0.1342281879194631,comes,2,0.13149243918474687,siqvidem,2,0.13360053440213762,mitto,2,0.1370801919122687,do,2,0.12070006035003018,vester,2,0.12886597938144329,infirmitas,2,0.11737089201877934,obsecro,2,0.12040939193257075,habito,2,0.14524328249818447,donec,2,0.12738853503184713
terra,2,0.1342281879194631,tribvo,2,0.13149243918474687,qvatvor,2,0.13360053440213762,caelvm/1,2,0.1370801919122687,res,2,0.12070006035003018,converto,2,0.12886597938144329,clementia,2,0.11737089201877934,loco,2,0.12040939193257075,avstrinvs,2,0.14524328249818447,antea,2,0.12738853503184713
flvvivs,2,0.1342281879194631,victvs,2,0.13149243918474687,mirvs,2,0.13360053440213762,regnvm,2,0.1370801919122687,servo,2,0.12070006035003018,differo,2,0.12886597938144329,saepe,2,0.11737089201877934,pateo,2,0.12040939193257075,vxor,2,0.14524328249818447,christianvs/2,2,0.12738853503184713
nvllvs,2,0.1342281879194631,appropinqvo,2,0.13149243918474687,opera,2,0.13360053440213762,sine,2,0.1370801919122687,fabrico,2,0.12070006035003018,potestas,2,0.12886597938144329,remvneratio,2,0.11737089201877934,iaceo,2,0.12040939193257075,condicio,2,0.14524328249818447,relinqvo,2,0.12738853503184713
soleo,2,0.1342281879194631,mos,2,0.13149243918474687,vaco,2,0.13360053440213762,vocabvlvm,2,0.1370801919122687,potivs,2,0.12070006035003018,sermo,2,0.12886597938144329,singvlvs,2,0.11737089201877934,sicvt/1,2,0.12040939193257075,procedo/1,2,0.14524328249818447,iste,2,0.12738853503184713
aqva,2,0.1342281879194631,iesvs/n,2,0.13149243918474687,verax,2,0.13360053440213762,novvs,2,0.1370801919122687,spativm,2,0.12070006035003018,saecvlvm,2,0.12886597938144329,credo,2,0.11737089201877934,secedo/1,2,0.12040939193257075,tertivs,2,0.14524328249818447,servio,2,0.12738853503184713
ardeo,2,0.1342281879194631,oratio,2,0.13149243918474687,benedictio,2,0.13360053440213762,nolo,2,0.1370801919122687,cantia/n,2,0.12070006035003018,perfectio,2,0.12886597938144329,intercessio,2,0.11737089201877934,liber/1,2,0.12040939193257075,venenvm,2,0.14524328249818447,animvs,2,0.12738853503184713
incendo,2,0.1342281879194631,servio,2,0.13149243918474687,exspecto,2,0.13360053440213762,misericordia,2,0.1370801919122687,hvmbra/n,2,0.12070006035003018,mors,2,0.12886597938144329,voco,2,0.11737089201877934,dono,2,0.12040939193257075,patria,2,0.14524328249818447,praedico/2,2,0.12738853503184713
confiteor,2,0.1342281879194631,sperno,2,0.13149243918474687,ecce,2,0.13360053440213762,allelvia,2,0.1370801919122687,flvmen,2,0.12070006035003018,proficio,2,0.12886597938144329,metallvm,2,0.11737089201877934,procvl,2,0.12040939193257075,permaximvs,2,0.14524328249818447,dilectio,2,0.12738853503184713
sino,2,0.1342281879194631,honor,2,0.13149243918474687,moveo,2,0.13360053440213762,secvndvs/1,2,0.1370801919122687,imperivm,2,0.12070006035003018,gravis,2,0.12886597938144329,iaceo,2,0.11737089201877934,remaneo,2,0.12040939193257075,secerno,2,0.14524328249818447,confero,2,0.12738853503184713
dvo,2,0.1342281879194631,convenio,2,0.13149243918474687,desiderivm,2,0.13360053440213762,miror,2,0.1370801919122687,familia,2,0.12070006035003018,ordino,2,0.12886597938144329,redeo/1,2,0.11737089201877934,propter/2,2,0.12040939193257075,spativm,2,0.14524328249818447,defvngor,2,0.12738853503184713
christianvs/2,2,0.1342281879194631,gradvs,2,0.13149243918474687,dispono,2,0.13360053440213762,primo,2,0.1370801919122687,maneo,2,0.12070006035003018,propono,2,0.12886597938144329,lingva,2,0.11737089201877934,tvmor,2,0.12040939193257075,aethelberht/n3,2,0.14524328249818447,sermo,2,0.12738853503184713
svpero,2,0.1342281879194631,postqvam,2,0.13149243918474687,teneo,2,0.13360053440213762,missa,2,0.1370801919122687,ministro,2,0.12070006035003018,semper,2,0.12886597938144329,sedes,2,0.11737089201877934,domvs,2,0.12040939193257075,cantia/n,2,0.14524328249818447,parvvs/2,2,0.12738853503184713
assensvs,2,0.1342281879194631,eatenvs,2,0.13149243918474687,praetereo/1,2,0.13360053440213762,ostensio,2,0.1370801919122687,avfero,2,0.12070006035003018,cavsa,2,0.12886597938144329,impetro,2,0.11737089201877934,nolo,2,0.12040939193257075,magnitvdo,2,0.14524328249818447,mvto/2,2,0.12738853503184713
relinqvo,2,0.1342281879194631,licet/1,2,0.13149243918474687,opinio,2,0.13360053440213762,cotidie,2,0.1370801919122687,secvndvs/1,2,0.12070006035003018,lectio,2,0.12886597938144329,respondeo,2,0.11737089201877934,hospitivm,2,0.12040939193257075,sine,2,0.14524328249818447,gravis,2,0.12738853503184713
prohibeo,2,0.1342281879194631,habitvs/1,2,0.13149243918474687,admoneo,2,0.13360053440213762,doctor,2,0.1370801919122687,honor,2,0.12070006035003018,qvomodo/1,2,0.12886597938144329,res,2,0.11737089201877934,misericordia,2,0.12040939193257075,promitto,2,0.14524328249818447,lectio,2,0.12738853503184713
avfero,2,0.1342281879194631,cogito,2,0.13149243918474687,addvco,2,0.13360053440213762,servitivm,2,0.1370801919122687,dvm/2,2,0.12070006035003018,lvx,2,0.12886597938144329,prosapia,2,0.11737089201877934,cvnctvs,2,0.12040939193257075,licentia,2,0.14524328249818447,nego,2,0.12738853503184713
species,2,0.1342281879194631,mors,2,0.13149243918474687,manvs/1,2,0.13360053440213762,primvm,2,0.1370801919122687,cotidie,2,0.12070006035003018,pereo/1,2,0.12886597938144329,servo,2,0.11737089201877934,animvs,2,0.12040939193257075,resido,2,0.14524328249818447,sacramentvm,2,0.12738853503184713
confero,2,0.1342281879194631,proficio,2,0.13149243918474687,confirmo,2,0.13360053440213762,gero,2,0.1370801919122687,conflvo,2,0.12070006035003018,cerno,2,0.12886597938144329,propter/2,2,0.11737089201877934,species,2,0.12040939193257075,colloqvivm,2,0.14524328249818447,incoho,2,0.12738853503184713
annvs,2,0.1342281879194631,altar,2,0.13149243918474687,intendo,2,0.13360053440213762,perfectio,2,0.1370801919122687,doctor,2,0.12070006035003018,commendo,2,0.12886597938144329,ministro,2,0.11737089201877934,transfero,2,0.12040939193257075,vsvs,2,0.14524328249818447,resvrrectio,2,0.12738853503184713
sermo,2,0.1342281879194631,amor,2,0.13149243918474687,exhibeo,2,0.13360053440213762,conversor,2,0.1370801919122687,possessio,2,0.12070006035003018,timeo,2,0.12886597938144329,religio,2,0.11737089201877934,gero,2,0.12040939193257075,argentevs/2,2,0.14524328249818447,manifestvs,2,0.12738853503184713
praefero,2,0.1342281879194631,impono,2,0.13149243918474687,appareo,2,0.13360053440213762,transeo/1,2,0.1370801919122687,idolvm,2,0.12070006035003018,socivs/2,2,0.12886597938144329,prohibeo,2,0.11737089201877934,mancipo,2,0.12040939193257075,imago,2,0.14524328249818447,ostendo,2,0.12738853503184713
