,Topic1,,,Topic2,
Word,Count,Percentage,Word,Count,Percentage
redirectas,1,0.6060606060606061,notifico,1,0.5494505494505495
renardi,1,0.6060606060606061,nvncios,1,0.5494505494505495
renegats,1,0.6060606060606061,obstaculum,1,0.5494505494505495
repeltendi,1,0.6060606060606061,omicidis,1,0.5494505494505495
reptamento,1,0.6060606060606061,oscvtatvm,1,0.5494505494505495
reptamentvm,1,0.6060606060606061,palias,1,0.5494505494505495
roche,1,0.6060606060606061,penitere,1,0.5494505494505495
rregvm,1,0.6060606060606061,perhenniter,1,0.5494505494505495
sacramen,1,0.6060606060606061,plivivm,1,0.5494505494505495
sacramentalis,1,0.6060606060606061,poncii,1,0.5494505494505495
servicio,1,0.6060606060606061,potve,1,0.5494505494505495
servicivm,1,0.6060606060606061,profv,1,0.5494505494505495
sigillum,1,0.6060606060606061,plaga,1,0.5494505494505495
solebani,1,0.6060606060606061,ptvs,1,0.5494505494505495
sollatas,1,0.6060606060606061,querelor,1,0.5494505494505495
sponsalicius,1,0.6060606060606061,querimonia,1,0.5494505494505495
statice,1,0.6060606060606061,qverimonie,1,0.5494505494505495
svccvr,1,0.6060606060606061,qvesierit,1,0.5494505494505495
tavega,1,0.6060606060606061,racio,1,0.5494505494505495
vitrarium,1,0.6060606060606061,redirecta,1,0.5494505494505495
vasvassore,1,0.6060606060606061,redirectvm,1,0.5494505494505495
valle,1,0.6060606060606061,redirigere,1,0.5494505494505495
vdalardi,1,0.6060606060606061,redirigi,1,0.5494505494505495
violaverit,1,0.6060606060606061,repto,1,0.5494505494505495
vmberti,1,0.6060606060606061,religiosorvm,1,0.5494505494505495
vsatici,1,0.6060606060606061,rochas,1,0.5494505494505495
vsvaiem,1,0.6060606060606061,salodii’,1,0.5494505494505495
yspaniam,1,0.6060606060606061,sarracenus,1,0.5494505494505495
0,0,0,sciticet,1,0.5494505494505495
0,0,0,senioraticvm,1,0.5494505494505495
0,0,0,solidantiam,1,0.5494505494505495
0,0,0,sotvat,1,0.5494505494505495
0,0,0,stabilierit,1,0.5494505494505495
0,0,0,tavde,1,0.5494505494505495
0,0,0,timencivm,1,0.5494505494505495
0,0,0,tregva,1,0.5494505494505495
0,0,0,tregvam,1,0.5494505494505495
0,0,0,tressalidz,1,0.5494505494505495
0,0,0,uiolacium,1,0.5494505494505495
0,0,0,valencie,1,0.5494505494505495
0,0,0,vassallvm,1,0.5494505494505495
0,0,0,vgonis,1,0.5494505494505495
0,0,0,vicecomitem,1,0.5494505494505495
0,0,0,vincvto,1,0.5494505494505495
0,0,0,vsvava,1,0.5494505494505495
