,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,Topic11,,,Topic12,,,Topic13,,,Topic14,,,Topic15,,,Topic16,,,Topic17,,,Topic18,,,Topic19,,,Topic20,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
conjungo,2,0.20020020020020018,extorqueo,2,0.20325203252032523,xii,2,0.20408163265306123,mora,2,0.2047082906857728,ualeo,3,0.29910269192422734,manifeste,2,0.20942408376963353,includo,2,0.20898641588296762,desidero,2,0.211864406779661,improbitas,2,0.20533880903490762,prodeo,3,0.30303030303030304,amicus,2,0.19627085377821393,bios,2,0.20964360587002098,triginta,2,0.21390374331550802,debitor,2,0.21598272138228944,praetereo,3,0.3045685279187817,libera,2,0.199203187250996,patria,2,0.211864406779661,sanguen,3,0.28517110266159695,eligo,2,0.2004008016032064,instrumentum,2,0.21253985122210414
diuina,2,0.20020020020020018,facio,2,0.20325203252032523,adhibeo,2,0.20408163265306123,onero,2,0.2047082906857728,vicis,3,0.29910269192422734,multus,2,0.20942408376963353,ito,2,0.20898641588296762,generaliter,2,0.211864406779661,instrumentum,2,0.20533880903490762,ecclesiasticus,2,0.20202020202020202,amitto,2,0.19627085377821393,contra,2,0.20964360587002098,tutum,2,0.21390374331550802,defungor,2,0.21598272138228944,rescindo,3,0.3045685279187817,xviii,2,0.199203187250996,pervenio,2,0.211864406779661,singuli,3,0.28517110266159695,emo,2,0.2004008016032064,intendo,2,0.21253985122210414
dono,2,0.20020020020020018,flagello,2,0.20325203252032523,argentum,2,0.20408163265306123,pala,2,0.2047082906857728,plaga,3,0.29910269192422734,onus,2,0.20942408376963353,materia,2,0.20898641588296762,herba,2,0.211864406779661,iuuo,2,0.20533880903490762,justinianus,2,0.20202020202020202,annus,2,0.19627085377821393,copulo,2,0.20964360587002098,venter,2,0.21390374331550802,desideo,2,0.21598272138228944,uel,3,0.3045685279187817,absolvo,2,0.199203187250996,praetermitto,2,0.211864406779661,atius,2,0.19011406844106463,evincio,2,0.2004008016032064,itaque,2,0.21253985122210414
emphyteuticarius,2,0.20020020020020018,incipio,2,0.20325203252032523,ars,2,0.20408163265306123,patior,2,0.2047082906857728,actus,3,0.29910269192422734,potens,2,0.20942408376963353,mortalitas,2,0.20898641588296762,infirmo,2,0.211864406779661,modus,2,0.20533880903490762,sex,2,0.20202020202020202,arbor,2,0.19627085377821393,curro,2,0.20964360587002098,ejectus,2,0.21390374331550802,destinatum,2,0.21598272138228944,ueluti,3,0.3045685279187817,addo,2,0.199203187250996,proprium,2,0.211864406779661,liber,2,0.19011406844106463,exorior,2,0.2004008016032064,ito,2,0.21253985122210414
facio,2,0.20020020020020018,inofficiosus,2,0.20325203252032523,certo,2,0.20408163265306123,pignus,2,0.2047082906857728,actium,2,0.19940179461615154,priuatus,2,0.20942408376963353,octavus,2,0.20898641588296762,invoco,2,0.211864406779661,narratio,2,0.20533880903490762,tutor,2,0.20202020202020202,cano,2,0.19627085377821393,discerno,2,0.20964360587002098,uado,2,0.21390374331550802,exaudio,2,0.21598272138228944,uter,3,0.3045685279187817,adhuc,2,0.199203187250996,publica,2,0.211864406779661,marcianus,2,0.19011406844106463,forsitan,2,0.2004008016032064,laedo,2,0.21253985122210414
igitur,2,0.20020020020020018,instruo,2,0.20325203252032523,compono,2,0.20408163265306123,progenies,2,0.2047082906857728,anna,2,0.19940179461615154,qualitas,2,0.20942408376963353,oculus,2,0.20898641588296762,justus,2,0.211864406779661,pareo,2,0.20533880903490762,accuso,2,0.20202020202020202,careo,2,0.19627085377821393,error,2,0.20964360587002098,judaei,2,0.21390374331550802,fateor,2,0.21598272138228944,rectus,3,0.3045685279187817,advoco,2,0.199203187250996,quisquam,2,0.211864406779661,nisus,2,0.19011406844106463,iniquus,2,0.2004008016032064,lateo,2,0.21253985122210414
impono,2,0.20020020020020018,ioco,2,0.20325203252032523,consobrinus,2,0.20408163265306123,purus,2,0.2047082906857728,christianus,2,0.19940179461615154,scribo,2,0.20942408376963353,parvus,2,0.20898641588296762,legalis,2,0.211864406779661,pars,2,0.20533880903490762,adhibeo,2,0.20202020202020202,clericus,2,0.19627085377821393,exsolvo,2,0.20964360587002098,manasse,2,0.21390374331550802,iacio,2,0.21598272138228944,inquit,3,0.3045685279187817,aqua,2,0.199203187250996,reddo,2,0.211864406779661,auctor,2,0.19011406844106463,jussio,2,0.2004008016032064,male,2,0.21253985122210414
infirmo,2,0.20020020020020018,justum,2,0.20325203252032523,consumo,2,0.20408163265306123,sapio,2,0.2047082906857728,liber,2,0.19940179461615154,statim,2,0.20942408376963353,penis,2,0.20898641588296762,lino,2,0.211864406779661,perdo,2,0.20533880903490762,alium,2,0.20202020202020202,coeo,2,0.19627085377821393,extorqueo,2,0.20964360587002098,aspectus,2,0.21390374331550802,imputo,2,0.21598272138228944,revereor,3,0.3045685279187817,arbitror,2,0.199203187250996,regio,2,0.211864406779661,boni,2,0.19011406844106463,juxta,2,0.2004008016032064,plecto,2,0.21253985122210414
meretrix,2,0.20020020020020018,magister,2,0.20325203252032523,cuncti,2,0.20408163265306123,schola,2,0.2047082906857728,longus,2,0.19940179461615154,uiuo,2,0.20942408376963353,perditus,2,0.20898641588296762,mare,2,0.211864406779661,proclamo,2,0.20533880903490762,alius,2,0.20202020202020202,convenio,2,0.19627085377821393,fas,2,0.20964360587002098,converso,2,0.21390374331550802,interrogo,2,0.21598272138228944,cos,2,0.20304568527918782,arma,2,0.199203187250996,rego,2,0.211864406779661,cani,2,0.19011406844106463,laboro,2,0.2004008016032064,poto,2,0.21253985122210414
monacha,2,0.20020020020020018,mobilis,2,0.20325203252032523,custodia,2,0.20408163265306123,siue,2,0.2047082906857728,sacerdos,2,0.19940179461615154,ultimum,2,0.20942408376963353,perpetuo,2,0.20898641588296762,ordo,2,0.211864406779661,recido,2,0.20533880903490762,auus,2,0.20202020202020202,dolus,2,0.19627085377821393,fodio,2,0.20964360587002098,cor,2,0.21390374331550802,libo,2,0.21598272138228944,gratia,2,0.20304568527918782,cado,2,0.199203187250996,respondeo,2,0.211864406779661,captio,2,0.19011406844106463,loquor,2,0.2004008016032064,quamdiu,2,0.21253985122210414
